department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
department;courseNum;courseTitle;sectionNum;courseType;callNum;meetingTime;meetingLocation;instructor;startEndDate
FRE;101;"Elementary French I";0001;LEC;4277;View Details;TuTh 9:30AM - 10:45AM;Pullen Hall 216;Jean-Paul Laforge;01/22/2013 - 05/16/2013
FRE;101;"Elementary French I";0002;LEC;4407;View Details;TBA;ONLINE;Claire Davidshofer;01/22/2013 - 05/16/2013
FRE;102;"Elementary French II";0002;LEC;13558;View Details;TBA;ONLINE;Claire Davidshofer;01/22/2013 - 05/16/2013
FRE;412;"Topics in French &amp; Francophone Civilization &amp; Culture";0001;LEC;10699;View Details;TBA;ONLINE;Claire Davidshofer;01/22/2013 - 05/16/2013
FYS;100;"First Year Seminar";0001;SEM;4280;View Details;We 8:00AM - 8:50AM;Pullen Hall 216;John R Haley;01/22/2013 - 05/16/2013
FYS;100;"First Year Seminar";0003;SEM;7222;View Details;Tu 4:00PM - 4:50PM;Houlton Center;Jean A Henderson;01/22/2013 - 05/16/2013
GEO;100;"World Geography";0001;LEC;4250;View Details;TBA;ONLINE;Natalija Alexandria Brewer;01/22/2013 - 05/16/2013
GEO;101;"Human Geography";0001;LEC;4251;View Details;TBA;ONLINE;Kimberly R Sebold;01/22/2013 - 05/16/2013
GEY;112;"Fundamentals of Geology";0001;LEC;4252;View Details;TuTh 9:30AM - 10:45AM;Folsom Hall 302;Chunzeng Wang;01/22/2013 - 05/16/2013
GEY;112;"Fundamentals of Geology";0002;LAB;4409;View Details;We 12:30PM - 3:15PM;Folsom Hall 302;Chunzeng Wang;01/22/2013 - 05/16/2013
GEY;114;"Historical Geology: The History of Life";0001;LEC;4281;View Details;MoWeFr 11:00AM - 11:50AM;Folsom Hall 302;Kevin McCartney;01/22/2013 - 05/16/2013
HPR;101;"Lifelong Wellness";0001;LEC;7223;View Details;We 5:00PM - 7:45PM;Houlton Center;Deborah Folsom;01/22/2013 - 05/16/2013
HPR;101;"Lifelong Wellness";0002;LEC;12703;View Details;TBA;ONLINE;Leo L Saucier;01/22/2013 - 05/16/2013
HPR;101;"Lifelong Wellness";0003;LEC;12870;View Details;MoWeFr 11:00AM - 11:50AM;Folsom Hall 105;Suzanne M Beaudet;01/22/2013 - 05/16/2013
HPR;101;"Lifelong Wellness";0004;LEC;12904;View Details;TuTh 8:00AM - 9:15AM;Folsom Hall 303;Leo L Saucier;01/22/2013 - 05/16/2013
HPR;101;"Lifelong Wellness";0005;LEC;12907;View Details;TuTh 9:30AM - 10:45AM;Folsom Hall 205;Alan D Gordon;01/22/2013 - 05/16/2013
HPR;101;"Lifelong Wellness";WIN1;LEC;13119;View Details;TBA;ONLINE;Leo L Saucier;12/24/2012 - 01/18/2013
HTY;115;"World Civilization I";0001;LEC;4282;View Details;TBA;ONLINE;John Defelice;01/22/2013 - 05/16/2013
